nSpecialGuestID	Remark	nLevel	nUnlockLevel	nMonsterCount	nBossCount	nGold	nExp	nPraise	NeedGoods_Type	NeedGoods_Count	NeedGoods_Coefficient	RewardItem1	RewardItem2	RewardItem3
NPC模板ID	备注	星级	解锁等级	小怪数量	BOSS数量	奖励金币	奖励经验	奖励口碑	需求类型	需求数量	需求系数	可能获得道具(ID、数量、随机权重)	可能获得道具2	可能获得道具3
1022	米高积逊	1	18	7	1	0	0	40	蔬菜	2600	0.1	"9102,1,20"	"6202,1,20"	"6203,1,10"
1022	米高积逊	2	18	9	1	0	0	80	蔬菜	2600	0.3	"9102,1,20"	"6202,1,20"	"6203,1,10"
1022	米高积逊	3	18	11	1	0	0	120	日用	2600	0.5	"9102,1,20"	"6202,1,20"	"6203,1,10"
1022	米高积逊	4	18	13	1	0	0	160	日用	2600	0.7	"9102,1,20"	"6202,1,20"	"6203,1,10"
1022	米高积逊	5	18	15	1	0	0	200	体育	2600	0.9	"9102,1,20"	"6202,1,20"	"6203,1,10"
1021	GAGA	1	19	7	1	10000	0	0	蔬菜	2600	0.18	"9102,1,20"	"6202,1,20"	"6203,1,10"
1021	GAGA	2	19	9	1	20000	0	0	蔬菜	2600	0.38	"9102,1,20"	"6202,1,20"	"6203,1,10"
1021	GAGA	3	19	11	1	40000	0	0	日用	2600	0.58	"9102,1,20"	"6202,1,20"	"6203,1,10"
1021	GAGA	4	19	13	1	60000	0	0	体育	2600	0.78	"9102,1,20"	"6202,1,20"	"6203,1,10"
1021	GAGA	5	19	15	1	100000	0	0	体育	2600	0.98	"9102,1,20"	"6202,1,20"	"6203,1,10"
1025	小龙哥	1	26	7	1	20000	0	0	日用	2600	0.3	"9303,1,20"	"9203,1,20"	"7960,200,6"
1025	小龙哥	2	26	9	1	40000	0	0	日用	2600	0.5	"9303,1,20"	"9203,1,20"	"7960,300,6"
1025	小龙哥	3	26	11	1	60000	0	0	体育	2600	0.7	"9303,1,20"	"9203,1,20"	"7960,400,6"
1025	小龙哥	4	26	13	1	100000	0	0	体育	2600	0.9	"9303,1,20"	"9203,1,20"	"7960,500,6"
1025	小龙哥	5	26	15	1	150000	0	0	体育	2600	1.1	"9303,1,20"	"9203,1,20"	"7960,600,6"
1023	阿拉丁	1	33	7	1	0	200	0	日用	2600	0.46	"9303,1,20"	"9203,1,20"	"7960,250,6"
1023	阿拉丁	2	33	9	1	0	300	0	体育	2600	0.66	"9303,1,20"	"9203,1,20"	"7960,350,6"
1023	阿拉丁	3	33	11	1	0	400	0	体育	2600	0.86	"9303,1,20"	"9203,1,20"	"7960,450,6"
1023	阿拉丁	4	33	13	1	0	500	0	体育	2600	1.06	"9303,1,20"	"9203,1,20"	"7960,550,6"
1023	阿拉丁	5	33	15	1	0	600	0	体育	2600	1.26	"9303,1,20"	"9203,1,20"	"7960,650,6"
1024	哈利波波	1	40	7	1	0	0	40	体育	2600	0.66	"9304,1,20"	"9204,1,20"	"7960,300,6"
1024	哈利波波	2	40	9	1	0	0	80	体育	2600	0.86	"9304,1,20"	"9204,1,20"	"7960,400,6"
1024	哈利波波	3	40	11	1	0	0	120	体育	2600	1.06	"9304,1,20"	"9204,1,20"	"7960,500,6"
1024	哈利波波	4	40	13	1	0	0	160	体育	2600	1.26	"9304,1,20"	"9204,1,20"	"7960,600,6"
1024	哈利波波	5	40	15	1	0	0	200	体育	2600	1.46	"9304,1,20"	"9204,1,20"	"7960,700,6"
1017	大酋长	1	47	7	1	20000	0	0	体育	2600	0.9	"9304,1,20"	"9204,1,20"	"7960,350,6"
1017	大酋长	2	47	9	1	40000	0	0	体育	2600	1.1	"9304,1,20"	"9204,1,20"	"7960,450,6"
1017	大酋长	3	47	11	1	60000	0	0	体育	2600	1.3	"9304,1,20"	"9204,1,20"	"7960,550,6"
1017	大酋长	4	47	13	1	100000	0	0	体育	2600	1.5	"9304,1,20"	"9204,1,20"	"7960,650,6"
1017	大酋长	5	47	15	1	150000	0	0	体育	2600	1.7	"9304,1,20"	"9204,1,20"	"7960,750,6"
1013	大腕儿	1	54	7	1	0	200	0	体育	2600	1.26	"9306,1,10"	"9206,1,10"	"7960,400,6"
1013	大腕儿	2	54	9	1	0	300	0	体育	2600	1.46	"9306,1,12"	"9206,1,12"	"7960,500,6"
1013	大腕儿	3	54	11	1	0	400	0	体育	2600	1.66	"9306,1,14"	"9206,1,14"	"7960,600,6"
1013	大腕儿	4	54	13	1	0	500	0	体育	2600	1.86	"9306,1,16"	"9206,1,16"	"7960,700,6"
1013	大腕儿	5	54	15	1	0	600	0	体育	2600	2.06	"9306,1,18"	"9206,1,18"	"7960,800,6"
1030	哆啦梦梦	1	61	7	1	0	0	100	体育	2600	1.8	"9103,1,2"	"9206,1,12"	"7960,500,6"
1030	哆啦梦梦	2	61	9	1	0	0	150	体育	2600	2.2	"9103,1,3"	"9206,1,14"	"7960,600,6"
1030	哆啦梦梦	3	61	11	1	0	0	200	体育	2600	2.6	"9103,1,4"	"9206,1,16"	"7960,700,6"
1030	哆啦梦梦	4	61	13	1	0	0	250	体育	2600	3	"9103,1,5"	"9206,1,18"	"7960,800,6"
1030	哆啦梦梦	5	61	15	1	0	0	300	体育	2600	4	"9103,1,6"	"9206,1,20"	"7960,1000,6"
