PraiseLevel	NpcTemplateID	Remark1	Remark2	Remark3	Count	NeedGoods	NeedGoodsCount1	NeedGoodsCount2	NeedGoodsCount3	NeedGoodsCount4	NeedGoodsCount5	NeedGoodsCount6	NeedGoodsCount7	NeedGoodsCount8	NeedGoodsCount9
Remark					顾客数量	填空表示使用NPC模板表里的数据	水果	饮料	蔬菜	日用	体育	电子	奢侈	服装	电器
1	1007	文婆娘	蔬菜		8				800						
2	1003	高泉	日用		4				1600	800					
3	1002	阿碎	体育		4				2400	1600	1200				
4	1006	翟南	电子		4				3200	2400	2400	1600			
5	1015	郑杰伦	"体育,日用"		4				4000	6400	7200	3000			
6	1012	老田	"体育,电子"		4				4800	8000	13200	8000			
7	1010	大舅哥	"日用,电子"		4				6400	14400	16200	15600			
8	1011	三其	"电子,奢侈"		4				8000	16800	19200	25600	4400		
9	1005	陈二蛋	服装		4				9600	19200	22800	31200	6800	5600	
10	1038	大管家	"电子,服装"		4				12000	21600	25800	45000	8400	16000	
11	1039	胜男王	电器		4				13600	24000	28800	51000	10000	20000	8800
12	1040	哈拉蕾	"服装,电器"		4				16000	27600	32400	58000	11600	37200	23200
13	1062	铮铮	"奢侈,服装,电器"		4				16000	27600	32400	58000	23200	49600	34800
